areaCode,areaName,areaType,date,hospitalCases
E40000003,London,nhsRegion,2021-07-15,575
E40000003,London,nhsRegion,2021-07-14,540
E40000003,London,nhsRegion,2021-07-13,514
E40000003,London,nhsRegion,2021-07-12,514
E40000003,London,nhsRegion,2021-07-11,467
E40000003,London,nhsRegion,2021-07-10,440
E40000003,London,nhsRegion,2021-07-09,435
E40000003,London,nhsRegion,2021-07-08,411
E40000003,London,nhsRegion,2021-07-07,397
E40000003,London,nhsRegion,2021-07-06,381
E40000003,London,nhsRegion,2021-07-05,364
E40000003,London,nhsRegion,2021-07-04,331
E40000003,London,nhsRegion,2021-07-03,318
E40000003,London,nhsRegion,2021-07-02,323
E40000003,London,nhsRegion,2021-07-01,329
E40000003,London,nhsRegion,2021-06-30,314
E40000003,London,nhsRegion,2021-06-29,301
E40000003,London,nhsRegion,2021-06-28,302
E40000003,London,nhsRegion,2021-06-27,243
E40000003,London,nhsRegion,2021-06-26,266
E40000003,London,nhsRegion,2021-06-25,286
E40000003,London,nhsRegion,2021-06-24,286
E40000003,London,nhsRegion,2021-06-23,280
E40000003,London,nhsRegion,2021-06-22,300
E40000003,London,nhsRegion,2021-06-21,303
E40000003,London,nhsRegion,2021-06-20,272
E40000003,London,nhsRegion,2021-06-19,286
E40000003,London,nhsRegion,2021-06-18,289
E40000003,London,nhsRegion,2021-06-17,300
E40000003,London,nhsRegion,2021-06-16,277
E40000003,London,nhsRegion,2021-06-15,289
E40000003,London,nhsRegion,2021-06-14,285
E40000003,London,nhsRegion,2021-06-13,261
E40000003,London,nhsRegion,2021-06-12,250
E40000003,London,nhsRegion,2021-06-11,262
E40000003,London,nhsRegion,2021-06-10,266
E40000003,London,nhsRegion,2021-06-09,270
E40000003,London,nhsRegion,2021-06-08,249
E40000003,London,nhsRegion,2021-06-07,252
E40000003,London,nhsRegion,2021-06-06,237
E40000003,London,nhsRegion,2021-06-05,234
E40000003,London,nhsRegion,2021-06-04,247
E40000003,London,nhsRegion,2021-06-03,238
E40000003,London,nhsRegion,2021-06-02,241
E40000003,London,nhsRegion,2021-06-01,236
E40000003,London,nhsRegion,2021-05-31,234
E40000003,London,nhsRegion,2021-05-30,233
E40000003,London,nhsRegion,2021-05-29,235
E40000003,London,nhsRegion,2021-05-28,234
E40000003,London,nhsRegion,2021-05-27,234
E40000003,London,nhsRegion,2021-05-26,238
E40000003,London,nhsRegion,2021-05-25,242
E40000003,London,nhsRegion,2021-05-24,244
E40000003,London,nhsRegion,2021-05-23,236
E40000003,London,nhsRegion,2021-05-22,233
E40000003,London,nhsRegion,2021-05-21,254
E40000003,London,nhsRegion,2021-05-20,248
E40000003,London,nhsRegion,2021-05-19,241
E40000003,London,nhsRegion,2021-05-18,245
E40000003,London,nhsRegion,2021-05-17,259
E40000003,London,nhsRegion,2021-05-16,261
E40000003,London,nhsRegion,2021-05-15,258
E40000003,London,nhsRegion,2021-05-14,251
E40000003,London,nhsRegion,2021-05-13,266
E40000003,London,nhsRegion,2021-05-12,275
E40000003,London,nhsRegion,2021-05-11,281
E40000003,London,nhsRegion,2021-05-10,281
E40000003,London,nhsRegion,2021-05-09,274
E40000003,London,nhsRegion,2021-05-08,275
E40000003,London,nhsRegion,2021-05-07,272
E40000003,London,nhsRegion,2021-05-06,283
E40000003,London,nhsRegion,2021-05-05,284
E40000003,London,nhsRegion,2021-05-04,292
E40000003,London,nhsRegion,2021-05-03,316
E40000003,London,nhsRegion,2021-05-02,308
E40000003,London,nhsRegion,2021-05-01,299
E40000003,London,nhsRegion,2021-04-30,315
E40000003,London,nhsRegion,2021-04-29,339
E40000003,London,nhsRegion,2021-04-28,353
E40000003,London,nhsRegion,2021-04-27,368
E40000003,London,nhsRegion,2021-04-26,376
E40000003,London,nhsRegion,2021-04-25,375
E40000003,London,nhsRegion,2021-04-24,403
E40000003,London,nhsRegion,2021-04-23,418
E40000003,London,nhsRegion,2021-04-22,423
E40000003,London,nhsRegion,2021-04-21,453
E40000003,London,nhsRegion,2021-04-20,439
