altitude,distance,heart_rate,speed,cadence_running,cadence_cycling,power,temperature,pace,cumulative_elevation_gain,time
0,0,0,0,NA,NA,0,NA,NA,0.7218308321574618,1
0,0,0,0,NA,NA,0,NA,NA,1.4431487003510513,2
0,0,0,0,NA,NA,0,NA,NA,2.1639536046346333,3
0,0,0,0,NA,NA,0,NA,NA,2.8842455444508417,4
0,0,0,0,NA,NA,0,NA,NA,3.604024519854085,5
0,0,0,0,NA,NA,0,NA,NA,4.323290530287537,6
0,0,0,0,NA,NA,0,NA,NA,5.0420435755003945,7
0,0,0,0,NA,NA,0,NA,NA,5.760283655547877,8
0,0,0,0,NA,NA,0,NA,NA,6.47801076987397,9
0,0,0,0,NA,NA,0,NA,NA,7.195224918534434,10
0,0,0,0,NA,NA,0,NA,NA,7.911926100973795,11
0,0,0,0,NA,0,0,NA,NA,8.627344867075397,12
0,0,0,0,NA,0,0,NA,NA,9.341481215284402,13
0,0,0,0,NA,0,0,NA,NA,10.054335144050196,14
0,0,0,0,NA,0,1.23161e-13,NA,NA,10.765906651826391,15
0,0,0,0,NA,0,1.23161e-13,NA,NA,11.47619573707083,16
0,0,0,0,NA,0,1.23161e-13,NA,NA,12.185202397891947,17
0,0,0,0,NA,0,1.23161e-13,NA,NA,12.892926630634255,18
0,0,0,0.01053333333333333,NA,0,1.23161e-13,NA,1582.2784810126584,13.599368429524716,19
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,14.299397898445877,20
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,14.991090608206038,21
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,15.674445196560576,22
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,16.3494597197314,23
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,17.016131652406948,24
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,17.6744578877422,25
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,18.324434737358654,26
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,18.966057931344363,27
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,19.599322618253897,28
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,20.22422336510836,29
0,0.05266666666666667,0,0,NA,NA,0,NA,NA,20.8407541573954,30
0,0.05266666666666667,127,0.6199999999999999,NA,0,1.23161e-13,NA,26.881720430107528,21.450842065098417,31
0,0.6726666666666665,127,0,NA,0,1.23161e-13,NA,NA,22.05964090423324,32
0,0.6726666666666665,127,0,NA,0,1.23161e-13,NA,NA,22.66715050551369,33
0,0.6726666666666665,127,0,NA,0,1.23161e-13,NA,NA,23.273370695228905,34
0,0.6726666666666665,127,0.99,NA,0,1.23161e-13,NA,16.835016835016834,23.878301294781902,35
0,1.6626666666666663,127,2.1999999999999997,NA,0,1.23161e-13,NA,7.575757575757577,24.48194212068961,36
0,3.8626666666666662,127,2.5900000000000007,NA,0,1.23161e-13,NA,6.435006435006433,25.084292984582817,37
0,6.452666666666667,127,2.7700000000000005,NA,0,1.23161e-13,NA,6.016847172081828,25.68535369320623,38
0,9.222666666666669,127,3.109999999999999,NA,0,1.23161e-13,NA,5.359056806002145,26.28512404841844,39
0,12.332666666666666,127,3.25,NA,0,1.23161e-13,NA,5.128205128205129,26.883603847191925,40
0,15.582666666666666,127,3.469999999999999,NA,0,1.23161e-13,NA,4.803073967339099,27.48079288161305,41
0,19.052666666666667,130,3.780000000000001,NA,0,1.23161e-13,NA,4.409171075837741,28.07669093888207,42
0,22.832666666666668,132,4.100000000000001,NA,0,1.23161e-13,NA,4.065040650406503,28.671297801313145,43
0,26.93266666666667,133,4.059999999999999,NA,0,1.23161e-13,NA,4.105090311986865,29.264613246334303,44
0,30.99266666666667,134,4.190000000000001,NA,0,1.23161e-13,NA,3.977724741447891,29.856637046487492,45
0,35.18266666666667,135,4.710000000000001,NA,0,1.23161e-13,NA,3.538570417551309,30.447368969428524,46
0,39.89266666666667,135,5.069999999999993,NA,0,1.23161e-13,NA,3.287310979618677,31.03680877792711,47
0,44.962666666666664,135,4.760000000000005,NA,0,1.23161e-13,NA,3.501400560224085,31.624956229866857,48
0,49.72266666666667,135,4.57,NA,0,1.23161e-13,NA,3.646973012399709,32.21181107954745,49
0,54.29266666666667,135,4.670000000000002,NA,0,1.23161e-13,NA,3.56887937187723,32.79737308289343,50
0,58.96266666666667,135,4.659999999999997,NA,0,1.23161e-13,NA,3.5765379113018625,33.38164199875637,51
0,63.62266666666667,135,5.109999999999999,NA,0,1.23161e-13,NA,3.261578604044358,33.96461758891492,52
0,68.73266666666666,137,5.539999999999992,NA,0,1.23161e-13,NA,3.008423586040919,34.546299618074734,53
0,74.27266666666665,138,5.750000000000014,NA,0,1.23161e-13,NA,2.8985507246376745,35.126687853868546,54
0,80.02266666666667,139,5.819999999999993,NA,0,1.23161e-13,NA,2.863688430698743,35.70578206685611,55
0,85.84266666666666,140,5.3799999999999955,NA,0,1.23161e-13,NA,3.097893432465926,36.28358203052423,56
154.2,91.22266666666664,141,4.800000000000011,NA,0,1.23161e-13,NA,3.472222222222213,36.86008752128678,57
154.6,96.02266666666668,141,4.079999999999998,NA,0,1.23161e-13,NA,4.084967320261439,37.43529831848464,58
154.6,100.10266666666666,141,3.740000000000009,NA,0,1.23161e-13,NA,4.4563279857397395,38.00921420438576,59
154.4,103.84266666666667,141,3.8999999999999777,NA,0,1.23161e-13,NA,4.273504273504298,38.581834964185134,60
154.2,107.74266666666664,141,4.420000000000016,NA,0,1.23161e-13,NA,3.7707390648566985,39.1531603860048,61
